"","sp.value","n.fl.value","h.value","density.value","con.density.value","het.density.value","s.value","cluster.value"
"1",-0.00416808328565885,-0.00570168405078266,-0.00286684286561367,-0.00713218858288792,0.000539247309622307,-0.00895381311786147,-0.00101098903852408,-0.00117916911565097
"2",-0.00675278787022582,-0.005806913283274,-0.00845978045705552,-0.00102409818517823,-0.00315254247400738,-0.00169380170663591,0.00214903343175302,-0.00436602189042523
"3",-0.00688387694068201,-0.00557171210403518,-0.00961270220659355,-0.0110126663815565,-0.00734344365355374,-0.0062886841240171,-0.00836645467404771,-0.00849389750553855
"4",-0.00798193378878304,-0.00746725896500871,-0.0108786741846658,-0.00599811162758355,-0.00400578309896465,-0.00692190473713993,-0.00748005453196625,-0.00573764911302918
"5",-0.0061706665607172,-0.000120984556031931,-0.00481355839704023,-0.00691890996057098,-0.00568278727754466,-0.00957446459456346,-0.0102195027699873,-0.00529923103993321
"6",-0.00641893574735788,-0.00873432438161583,-0.00956616656223861,-0.00203018618446592,-0.00597052255797737,-0.00442791098021308,-0.00900370498126154,-0.00542507611121678
"7",-0.00660694061462685,-0.0126165764264935,-0.00505776625436238,-0.0142514446767749,-0.00864639183671499,-0.0115159228924395,-0.00960377109795401,-0.00916564021335569
"8",-0.00579916014681527,-0.00298362205475866,-0.00539625493799478,-0.00634356165659678,-0.00992169258019475,-0.00702550670654796,-0.00898228554272219,-0.00581608345567332
"9",-0.00257234302494637,-1.62358614615329e-06,-0.00607389403793016,0.00411688667690074,0.0103326117621769,0.00457352559044355,-0.00545427791366601,-0.0086290292762411
"10",-0.00254493813300213,0.000488912787709065,-0.0109284527974777,-0.00456480612008749,-0.00144869639498627,0.00415296070122614,-0.00276273044758732,-0.00559071349840507
"11",-0.00629710717735365,-0.00451552981491278,-0.00390589487835439,-0.0100000577125046,-0.00585591614705404,-0.00611889673874343,-0.00986285076014488,-0.00545038770215909
"12",-0.00655566482226081,-0.0082854319521674,-0.0102433767070456,-0.00614570268723066,-0.00507398443153341,-0.00487068655642288,-0.00215352216460532,-0.00606368695017792
"13",-0.000122104539135344,0.00117586153003408,0.00438307045745137,-0.000225429050726666,-0.00930558631650776,-0.00774451597385875,-0.000123603881789228,-0.00318605890375366
"14",-0.00727260958061968,-0.0112190936675278,-0.00446732266362894,-0.00621417615424587,-0.00794294007801745,-0.0096829459205254,-0.00686864433431794,-0.00437543922170563
"15",-0.00846061173147666,-0.013035109128049,-0.0119525837389712,-0.00833050918977469,-0.00593152674850664,-0.00807411195287086,-0.000212008141980377,-0.00637057769434929
"16",-0.00563885178013363,0.00276976732077596,-0.00365076653180093,-0.00328677531753695,-0.00890690072417137,-0.00776945060290988,-0.0088812976731553,-0.00562102043882305
"17",-0.00714890111481427,-0.0110617577911044,-0.00683896036693205,-0.00445024476176087,-0.0032443958768826,-0.00837366518500301,-0.00456484346016916,-0.00908796187005851
"18",-0.00802257811772136,-0.00255188188350673,-0.00495955413224689,-0.00954629623072229,-0.00875838838956586,-0.00932355428770788,-0.00641974837504135,-0.00558424152691645
"19",-0.00875324413820147,-0.00624365431684552,-0.00547703445589563,-0.0108227721908639,-0.00828696781866356,-0.0102204474600117,-0.0082129566945999,-0.00393678655185274
"20",-0.00776213264079142,-0.00790725954775021,-0.00894175689582362,-0.00708569111117128,-0.00587551646136911,-0.00752486710911978,-0.00411505477119983,-0.00689263900648585
"21",-0.00495544896254881,-0.00484986328214868,-0.00604933615936449,-0.00557963549855725,-0.00763087740080266,-0.00448901012399026,-0.00799102045658398,-0.00473259737500349
"22",-0.00614388447605926,-0.0133255819221926,-0.01231042531322,-0.0114605033271815,-0.00576968551066344,-0.00818408609068034,-0.0100215321443831,-0.00720042896367894
"23",-0.00314464216646479,-0.0113193339005172,0.00405523128641207,-0.0104576424666513,-0.0104695600778228,-0.00607832839555285,-0.00942359626440118,-0.0087296396243628
"24",-0.00684603041227972,-0.00369729216550795,-0.0081492999361228,-0.00127434422765453,-0.00541970549146739,-0.00851338848738643,-0.0034962387379131,-0.00787750760693987
"25",-0.00741499803020197,-0.00898186580217494,-0.00328921328967925,-0.00630334604099478,-0.00587148396259499,-0.00059294269623687,-0.00387841946064181,-0.0062905551272694
"26",-0.00479224217954257,-0.0118379161940325,-0.0108172590241695,0.0116323297790851,0.00600375916365442,-0.00569248439743556,-0.00748866299066257,-0.00881357156074799
"27",-0.00877946779565436,-0.00464450109283511,-0.00543387451849197,-0.00626074535014708,-0.0121662976739652,-0.00634400559911586,-0.00434579693929649,-0.00699780936934197
"28",-0.00282586803560331,0.00218014989693911,-0.000521176312438073,-0.00188153867531538,-0.0058049881405903,0.00101206733634669,-0.00438692529856068,-0.00439414479383833
"29",-0.00487355335862961,-0.00391538528671306,-0.00491534190570673,-0.0104228440743051,-0.0128483682100487,-0.00677826268148702,-0.00789290866126859,-0.00732725337260623
"30",-0.00718951186877207,-0.0105744062588403,-0.0123318980620994,-0.00996949296991355,-0.0111524211285218,-0.00656611074223264,-0.0117350024853298,-0.0088758998731531
"31",-0.00496751226982257,-0.00758081524089209,-0.0103447072114284,-0.00393997987030742,0.00040357956691871,-0.00971950446897802,-0.000254178946853572,-0.00552465790148861
"32",-0.00802646829695128,-0.00710983085663623,-0.00756824703399301,-0.0108071408503874,-0.00848784302157385,-0.0126489190367941,-0.0091741646365017,-0.00491822765679221
"33",-0.00708863424796519,-0.00275022594868495,-0.00496042370918228,-0.00916401447962376,-0.00834341262535705,-0.00795620996147562,-0.00719954000165921,-0.00446740972165745
"34",-0.00920584491426515,-0.00755242852177696,-0.000274071409084458,-0.00393306009204255,-0.00893769481100037,0.0029655408500252,-0.00601269921690751,-0.00688155984176177
"35",-0.00649888765183359,-0.00265258366053075,-0.0101784501535128,-0.00805456648383965,-0.00489562610864263,-0.00330069181597964,-0.00312697221512623,-0.00370164790406865
"36",-0.00623835637234024,-0.010355414918377,-0.0100252936430525,-0.00603107239139272,0.00597089113341942,-0.00730656288158388,-0.00678858561334411,-0.00356176341396395
"37",-0.00611446342504591,-0.00453645063696088,-0.0115078074777935,-0.00930241367079518,-0.00194769001924754,-0.00403711755941273,-0.0116094738133071,-0.0107017260644794
"38",-0.00698466184062089,-0.0105635399813026,-0.0114665863877738,-0.0109138072499887,-0.00549630007382943,-0.011488851135619,-0.0105511442842076,-0.0101667313559573
"39",-0.00547585248853684,-0.00902486417919856,-0.00166132294186642,-0.00419064568007583,-0.00175748588593621,-0.00659660825093709,-0.00848037146535269,-0.00789986114371087
"40",-0.00827112256543002,-0.0121894712565322,-0.0104478422737447,-0.00777669380535495,-0.00705443405785798,-0.00847516185478663,-0.00119306796007387,-0.00790749462317572
"41",-0.00422203953305376,-0.00910166173659929,-0.00851422336553478,-0.00793749334362713,-0.0124902895283239,-0.00403471495866851,-0.00966173338844334,-0.00850882238679641
"42",-0.00394141969406636,-0.0115167659844366,0.0016723089407676,-0.0104988573486775,-0.00522422396782977,-0.00858295740605736,-0.00871420371259786,-0.00469353470339985
"43",-0.00611453478513,-0.0065547214804979,-0.00931373593031521,-0.00786059729960248,-0.00838886295548606,-0.00561331836198098,-0.0119789547185354,-0.00843391450299249
"44",-0.00668668323354698,-0.00925147027813213,-0.00626867282455467,-0.00550908299675461,-0.00565092125050384,-0.00999848420964566,-0.000642092331606405,-0.00610855136493552
"45",-0.00641975440987456,-0.00777928889555373,-0.00972557082643405,-0.00318048827138394,-0.00590367442301585,-0.00613134868173335,-0.00662489906413419,-0.00540739058643984
"46",-0.00281235615720733,0.00501826884351512,-0.00190130236757762,-0.00979997213739892,-0.00714063654686836,-0.00988669139290815,-0.00552130734089646,-0.00399879495492652
"47",-0.00778225271418712,-0.00346663416213737,-0.00438625920238927,0.00239446023250741,-0.00165751777713915,6.71182336571053e-05,0.00276535877468534,-0.00750166318518296
