4.21.2018,1,PP,V,,tinies,,,,,,,,,,,119
4.21.2018,2,PP,V,1,Richardiidae,omomyia,,,,,,,,,,
4.21.2018,2,PP,V,1,small tachinid,"tachinid - small, black","small, black, shiny, 2nd antennal segment long and weird",,,,,,,,,
4.21.2018,2,PP,V,1,lasioglossum,lasioglossum,green metallic,,,,,,,,,
4.21.2018,2,PP,V,,heleomyzidae?,heleomyzidae,too small to inlcude,there is also mythicomyiidae & parasitoids,,,,,,,,
4.21.2018,3,LT,V,,parasitoid wasps,,,,,,,,,,,
4.21.2018,4,HH,V,1,diadasia,diadasia australis?,,"usual one. Large, rinconis?",,,,,,,,
4.21.2018,6,LT,V,,parasitoid wasp,,,,,,,,,,,
4.21.2018,7,AS ,V,1,black ovipositor fly ,need to check,,,,,,,,,,
4.21.2018,7,AS ,V,,very small fly,,,,,,,,,,,
4.21.2018,8,AS ,V,,tiny beetle,,,,,,,,,,,
4.21.2018,9,PP,V,1,ashmeadiellia,ashmeadiellia meliloti?,,,,,,,,,,
4.21.2018,10,EC,V,1,white abdomen fly,sciaridae,long probsicus,"same shape as later yellow one, ",,,,,,,,
4.21.2018,10,EC,V,,ant,formicidae,,,,,,,,,,
4.21.2018,10,EC,V,,parasitoid wasps,"3 Eulophidae, Tetrasinae (spelling!)",,,,,,,,,,
4.21.2018,11,EC,V,1,beetle,collops?,white and black,,,,,,,,,
4.21.2018,11,EC,V,1,hylaeus,hylaeus,2 yellow stripes,2 stripes? Hard to tell in vial. If not a hyleus than a lasioglossum,,,,,,,,
4.21.2018,11,EC,V,,beetles ,melyridae - Dastinae,,,,,,,,,,
4.21.2018,11,EC,V,,parasitoids wasps,"3 Eulophidae, Tetrasinae (spelling!), 1 other (playgastridae??)",,,,,,,,,,
4.21.2018,12,EC ,V,,black shiny fly with yellow face??,,,,,,,,,,,
4.21.2018,14,AS,V,,melyrid beetles,melyridae,,,,,,,,,,
4.21.2018,15,PP,V,1,ashmeadiella,ashmeadiellia ,"different, larger, light colour tarsia",,,,,,,,,
4.21.2018,17,PP,V,1,ashmeadiella?,ashmeadiellia meliloti?,,,,,,,,,,
4.21.2018,17,PP,V,1,beetle/hemiptera,miridae - black shiny,,,,,,,,,,
4.21.2018,19,EL,V,,beetles? ,,,too small,,,,,,,,
4.21.2018,19,EL,V,,pirate bug,anthocoridae,,predaotr,,,,,,,,
4.22.2018,22,AS,V,1,very small fly,agromyzidae,male - yellow halteres and costa,,,,,,,,,
4.22.2018,23,EC,V,1,silvery moth  ,silvery moth  ,,early silvery moths different than spotted wing,,,,,,,,
4.22.2018,23,EC,V,1,black ovipositor fly ,agromyzidae,female - yellow halteres and costa,,,,,,,,,
4.22.2018,26,AS,V,1,red and black melyrid,collops,red and black,,,,,,,,,
4.22.2018,27,PP,V,1,ashmeadiella,ashmeadiella,,cactus meg,,,,,,,,
4.22.2018,28,EC,V,,mythicomyiidae,,,,,,,,,,,
4.22.2018,29,AS,V,1,black ovipositor fly ,agromyzidae,female - yellow halteres and costa,,,,,,,,,
4.22.2018,29,AS,V,,mythicomyiidae,,,,,,,,,,,
4.22.2018,31,PP,V,1,tachinid,sarcophaginae,blotchy tergites,,,,,,,,,
4.22.2018,31,PP,V,1,ashmeadiella,ashmeadiella,,,,,,,,,,
4.22.2018,31,PP,V,1,ulididae?,omomyia,Richardiidae,,,,,,,,,
4.22.2018,32,AS,V,,tiny flies,,,,,,,,,,,
4.22.2018,41,EC,V,,tiny flies,,,,,,,,,,,
4.22.2018,42,EC,V,,mythicomyiidae,,,,,,,,,,,
4.24.2018,42,EC,V,,tinies,,,,,,,,,,,
4.22.2018,43,EL,V,,tinies,,,,,,,,,,,
4.22.2018,44,AS,V,1,black ovipositor fly ,agromyzidae,female - yellow halteres and costa,,,,,,,,,
4.22.2018,44,AS,V,,small black beetle?,miridae - black shiny,,,,,,,,,,
4.23.2018,47,AS,V,1,bombyliid - 1/2 black wigs,bombyliidae - Part smokey wings,,,,,,,,,,
4.23.2018,47,AS,V,1,silvery moth,silvery moth,,,,,,,,,,
4.23.2018,49,SD,V,1,wasp,braconidae?,don’t know,,,,,,,,,
4.23.2018,50,SM,V,1,white faced eucera?,anthophora,,,,,,,,,,
4.23.2018,53,PP,V,1,ashmeadiella,ashmeadiella,,,,,,,,,,
4.23.2018,54,AS,V,3,black ovipositor fly ,agromyzidae,2 female and 1 male - yellow halteres,,,,,,,,,
